"date","commune","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2022-11-01,"RANOMAFANA",NA,128,182,258,16403,NA,7.80479336333544,11.0815240991523,15.7415435154696,3,"2022/2023","Nov"
2022-11-01,"TSARATANANA",NA,952,1229,1588,30817,NA,30.8778106752136,39.8900404423905,51.5433870356707,3,"2022/2023","Nov"
2022-12-01,"AMBIABE",NA,655,898,1232,11879,NA,55.1695119937198,75.6117443183888,103.685891003595,3,"2022/2023","Dec"
2022-12-01,"AMBOHIMANGA DU SUD",NA,1046,1351,1745,23100,NA,45.276516473611,58.4686406406854,75.5335401072523,3,"2022/2023","Dec"
2022-12-01,"AMBOHIMIERA",NA,1000,1341,1801,17647,NA,56.6655567046131,75.9728279348972,102.057985974283,3,"2022/2023","Dec"
2022-12-01,"AMPASINAMBO",NA,121,176,257,3929,NA,30.6780285923787,44.7280556430403,65.320866128019,3,"2022/2023","Dec"
2022-12-01,"ANALAMPASINA",NA,266,367,509,7666,NA,34.6398664186379,47.937623675512,66.367996759315,3,"2022/2023","Dec"
2022-12-01,"ANDRORANGAVOLA",NA,614,812,1074,18241,NA,33.6636830750955,44.5024597116015,58.8782372913797,3,"2022/2023","Dec"
2022-12-01,"ANTARETRA",NA,663,876,1158,12358,NA,53.6563197492252,70.8898304065358,93.6716869880336,3,"2022/2023","Dec"
2022-12-01,"ANTSINDRA",NA,389,533,731,8020,NA,48.5434415632981,66.4841344181585,91.1003893880011,3,"2022/2023","Dec"
2022-12-01,"FASINTSARA",NA,598,784,1028,14683,NA,40.7504265324336,53.4023280607,69.9918273634335,3,"2022/2023","Dec"
2022-12-01,"IFANADIANA",NA,495,656,869,21562,NA,22.9375652536343,30.4129139913491,40.3253443211311,3,"2022/2023","Dec"
2022-12-01,"KELILALINA",NA,691,896,1163,15760,NA,43.8500568668237,56.8844957843775,73.8000181264815,3,"2022/2023","Dec"
2022-12-01,"MAROHARATRA",NA,576,763,1014,14969,NA,38.4477255545168,50.9797176557708,67.7117060768406,3,"2022/2023","Dec"
2022-12-01,"MAROTOKO",NA,429,595,825,8621,NA,49.8133422392796,69.01297746618,95.7503553996109,3,"2022/2023","Dec"
2022-12-01,"RANOMAFANA",NA,289,407,574,16439,NA,17.5623000165396,24.7562429564353,34.9183342057767,3,"2022/2023","Dec"
2022-12-01,"TSARATANANA",NA,1618,2083,2682,30885,NA,52.3883500657461,67.4418329780783,86.8410176646096,3,"2022/2023","Dec"
2023-01-01,"AMBIABE",NA,1264,1708,2310,11908,NA,106.164484874399,143.463539111086,193.968140654352,3,"2022/2023","Jan"
2023-01-01,"AMBOHIMANGA DU SUD",NA,1034,1323,1694,23161,NA,44.6400156314681,57.1324732943775,73.1502849619989,3,"2022/2023","Jan"
2023-01-01,"AMBOHIMIERA",NA,1124,1490,1978,17693,NA,63.5557866358725,84.2103305738882,111.820704903787,3,"2022/2023","Jan"
2023-01-01,"AMPASINAMBO",NA,200,280,393,3940,NA,50.8025961891507,71.0896904192442,99.6725401263442,3,"2022/2023","Jan"
2023-01-01,"ANALAMPASINA",NA,420,570,774,7688,NA,54.5942637097815,74.1116776322043,100.644366716077,3,"2022/2023","Jan"
2023-01-01,"ANDRORANGAVOLA",NA,782,1019,1330,18288,NA,42.7332252436653,55.7215430193082,72.7164593405818,3,"2022/2023","Jan"
2023-01-01,"ANTARETRA",NA,1070,1395,1818,12392,NA,86.3364313201326,112.53986621118,146.719938745372,3,"2022/2023","Jan"
2023-01-01,"ANTSINDRA",NA,391,530,718,8041,NA,48.6172216150749,65.9013537697096,89.3535737598584,3,"2022/2023","Jan"
2023-01-01,"FASINTSARA",NA,909,1174,1516,14722,NA,61.744095406221,79.7209417742501,102.948270609834,3,"2022/2023","Jan"
2023-01-01,"IFANADIANA",NA,1089,1417,1845,21616,NA,50.3885327556331,65.5726047471367,85.3414670672291,3,"2022/2023","Jan"
2023-01-01,"KELILALINA",NA,952,1223,1572,15801,NA,60.2629339869509,77.424701788655,99.4768363598021,3,"2022/2023","Jan"
